geo_coordinates
"[-37.81434100004995, 144.97918300027175]"
"[-37.81364199988121, 144.98010299952023]"
"[-37.813645000205035, 144.98043899951165]"
"[-37.81497799962746, 144.98158999968928]"
"[-37.81492799954271, 144.98154300028483]"
"[-37.813621999867856, 144.98042299953917]"
"[-37.81504100018933, 144.9816410003482]"
"[-37.815016000214044, 144.98162099993164]"
"[-37.81478899993669, 144.9784870003418]"
"[-37.81480799979998, 144.9784550000926]"
"[-37.81522800003629, 144.977843999689]"
"[-37.81523099980994, 144.9778390002392]"
"[-37.8142979995942, 144.9780539995926]"
"[-37.81431599999135, 144.97830199999714]"
"[-37.81432999967676, 144.97835700023495]"
"[-37.81434699979062, 144.97844100013623]"
"[-37.8138519997087, 144.9806210005363]"
"[-37.813830999886164, 144.98060099968328]"
"[-37.81377699967061, 144.98054299999143]"
"[-37.814696999813776, 144.97984600046087]"
"[-37.81472300028873, 144.98049599993786]"
"[-37.814314000097305, 144.9782790004327]"
"[-37.81482199991746, 144.98143799973812]"
"[-37.81448200034956, 144.9788169996786]"
"[-37.81471300003038, 144.9794870005159]"
"[-37.814706000218834, 144.97972600022914]"
"[-37.814363999954324, 144.9810540005101]"
"[-37.81365300037933, 144.9804530000708]"
"[-37.8144659999406, 144.94486199963697]"
"[-37.81369999983645, 144.9818930001823]"
"[-37.81959699974004, 144.9452950005118]"
"[-37.817473000241094, 144.94614900024612]"
"[-37.817552999919876, 144.94617099992502]"
"[-37.819532000341376, 144.9452769998807]"
